Timestamp,Event,Details,Capital
2025-05-02T13:08:55.368Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-05-02T13:08:55.368Z,Signal,"CVD check, prevVolume=-20.05, currVolume=1.65",10000.00
2025-05-02T13:08:55.368Z,Signal,"Bullish CVD su TF 3m, lastVolume=1.65",10000.00
2025-05-02T13:08:55.368Z,FVG,"Check: ATR=62.01, fvgSensitivity=0.20, Threshold=12.40",10000.00
2025-05-02T13:08:55.368Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-05-02T13:08:55.369Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-05-02T13:08:55.369Z,Signal,"CVD check, prevVolume=1.65, currVolume=-12.27",10000.00
2025-05-02T13:08:55.369Z,Signal,"Bearish CVD su TF 3m, lastVolume=-12.27",10000.00
2025-05-02T13:08:55.369Z,FVG,"Check: ATR=63.69, fvgSensitivity=0.20, Threshold=12.74",10000.00
2025-05-02T13:08:55.369Z,FVG,"Bullish confermato, top=96551.10, bottom=96526.00, size=25.10",10000.00
2025-05-02T13:08:55.370Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-05-02T13:08:55.370Z,Signal,"CVD check, prevVolume=-12.27, currVolume=-8.80",10000.00
2025-05-02T13:08:55.370Z,Signal,"Nessun CVD, prevVolume=-12.27, currVolume=-8.80",10000.00
2025-05-02T13:08:55.370Z,FVG,"Check: ATR=59.96, fvgSensitivity=0.20, Threshold=11.99",10000.00
2025-05-02T13:08:55.370Z,FVG,"Bullish confermato, top=96587.70, bottom=96557.50, size=30.20",10000.00
2025-05-02T13:08:55.370Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-05-02T13:08:55.371Z,Signal,"CVD check, prevVolume=-8.80, currVolume=25.32",10000.00
2025-05-02T13:08:55.371Z,Signal,"Bullish CVD su TF 3m, lastVolume=25.32",10000.00
2025-05-02T13:08:55.371Z,FVG,"Check: ATR=55.15, fvgSensitivity=0.20, Threshold=11.03",10000.00
