Timestamp,Event,Details,Capital
2025-04-30T18:12:51.590Z,Signal,"Bearish CVD su TF 3m, lastVolume=-6.29",10000.00
2025-04-30T18:12:51.590Z,FVG,"Check: ATR=67.92, fvgSensitivity=0.20, Threshold=13.58",10000.00
2025-04-30T18:12:51.590Z,FVG,"Bullish scartato, size=2.20 < threshold=13.58 ",10000.00
2025-04-30T18:12:51.590Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-30T18:12:51.591Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-30T18:12:51.591Z,Signal,"CVD check, prevVolume=-6.29, currVolume=2.57",10000.00
2025-04-30T18:12:51.591Z,Signal,"Bullish CVD su TF 3m, lastVolume=2.57",10000.00
2025-04-30T18:12:51.591Z,FVG,"Check: ATR=64.18, fvgSensitivity=0.20, Threshold=12.84",10000.00
2025-04-30T18:12:51.591Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-30T18:12:51.591Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-30T18:12:51.592Z,Signal,"CVD check, prevVolume=2.57, currVolume=0.74",10000.00
2025-04-30T18:12:51.592Z,Signal,"Nessun CVD, prevVolume=2.57, currVolume=0.74",10000.00
2025-04-30T18:12:51.592Z,FVG,"Check: ATR=63.33, fvgSensitivity=0.20, Threshold=12.67",10000.00
2025-04-30T18:12:51.592Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-30T18:12:51.592Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-30T18:12:51.593Z,Signal,"CVD check, prevVolume=0.74, currVolume=-1.18",10000.00
2025-04-30T18:12:51.593Z,Signal,"Bearish CVD su TF 3m, lastVolume=-1.18",10000.00
2025-04-30T18:12:51.593Z,FVG,"Check: ATR=66.04, fvgSensitivity=0.20, Threshold=13.21",10000.00
2025-04-30T18:12:51.593Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-30T18:12:51.593Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-30T18:12:51.594Z,Signal,"CVD check, prevVolume=-1.18, currVolume=37.42",10000.00
2025-04-30T18:12:51.594Z,Signal,"Bullish CVD su TF 3m, lastVolume=37.42",10000.00
2025-04-30T18:12:51.594Z,FVG,"Check: ATR=70.58, fvgSensitivity=0.20, Threshold=14.12",10000.00
2025-04-30T18:12:51.594Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-30T18:12:51.594Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-30T18:12:51.595Z,Signal,"CVD check, prevVolume=37.42, currVolume=4.55",10000.00
2025-04-30T18:12:51.595Z,Signal,"Nessun CVD, prevVolume=37.42, currVolume=4.55",10000.00
2025-04-30T18:12:51.595Z,FVG,"Check: ATR=71.83, fvgSensitivity=0.20, Threshold=14.37",10000.00
2025-04-30T18:12:51.595Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-30T18:12:51.595Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-30T18:12:51.596Z,Signal,"CVD check, prevVolume=4.55, currVolume=4.59",10000.00
2025-04-30T18:12:51.596Z,Signal,"Nessun CVD, prevVolume=4.55, currVolume=4.59",10000.00
2025-04-30T18:12:51.596Z,FVG,"Check: ATR=75.16, fvgSensitivity=0.20, Threshold=15.03",10000.00
2025-04-30T18:12:51.596Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-30T18:12:51.596Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-30T18:12:51.596Z,Signal,"CVD check, prevVolume=4.59, currVolume=5.36",10000.00
2025-04-30T18:12:51.597Z,Signal,"Nessun CVD, prevVolume=4.59, currVolume=5.36",10000.00
2025-04-30T18:12:51.597Z,FVG,"Check: ATR=69.03, fvgSensitivity=0.20, Threshold=13.81",10000.00
2025-04-30T18:12:51.597Z,FVG,"Bullish confermato, top=84917.70, bottom=84900.00, size=17.70",10000.00
2025-04-30T18:12:51.597Z,FVG,"Bullish confermato, top=84917.70, bottom=84900.00, size=17.70",10000.00
2025-04-30T18:12:51.597Z,Error,"Entrata saltata: slDistance non valido (0)",10000.00
2025-04-30T18:12:51.598Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-30T18:12:51.598Z,Signal,"CVD check, prevVolume=5.36, currVolume=249.81",10000.00
2025-04-30T18:12:51.598Z,Signal,"Nessun CVD, prevVolume=5.36, currVolume=249.81",10000.00
2025-04-30T18:12:51.598Z,FVG,"Check: ATR=70.10, fvgSensitivity=0.20, Threshold=14.02",10000.00
2025-04-30T18:12:51.598Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-30T18:12:51.598Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
