Timestamp,Event,Details,Capital
2025-04-16T20:27:43.981Z,Signal,"CVD check, prevVolume=-57.83, currVolume=-61.25",10000.00
2025-04-16T20:27:43.981Z,Signal,"Nessun CVD, prevVolume=-57.83, currVolume=-61.25",10000.00
2025-04-16T20:27:43.982Z,FVG,"Check: ATR=67.92, fvgSensitivity=0.20, Threshold=13.58",10000.00
2025-04-16T20:27:43.982Z,FVG,"Bullish scartato, size=2.20 < threshold=13.58 ",10000.00
2025-04-16T20:27:43.982Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-16T20:27:43.982Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:43.983Z,Signal,"CVD check, prevVolume=-61.25, currVolume=36.27",10000.00
2025-04-16T20:27:43.983Z,Signal,"Bullish CVD su TF 3m, lastVolume=36.27",10000.00
2025-04-16T20:27:43.983Z,FVG,"Check: ATR=64.18, fvgSensitivity=0.20, Threshold=12.84",10000.00
2025-04-16T20:27:43.983Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-16T20:27:43.984Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:43.984Z,Signal,"CVD check, prevVolume=36.27, currVolume=36.27",10000.00
2025-04-16T20:27:43.984Z,Signal,"Nessun CVD, prevVolume=36.27, currVolume=36.27",10000.00
2025-04-16T20:27:43.984Z,FVG,"Check: ATR=63.33, fvgSensitivity=0.20, Threshold=12.67",10000.00
2025-04-16T20:27:43.984Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-16T20:27:43.985Z,SaveCandles,"Salvate 2 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:43.985Z,Signal,"CVD check, prevVolume=36.27, currVolume=2.13",10000.00
2025-04-16T20:27:43.985Z,Signal,"Nessun CVD, prevVolume=36.27, currVolume=2.13",10000.00
2025-04-16T20:27:43.985Z,FVG,"Check: ATR=66.04, fvgSensitivity=0.20, Threshold=13.21",10000.00
2025-04-16T20:27:43.985Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-16T20:27:43.986Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:43.986Z,Signal,"CVD check, prevVolume=2.13, currVolume=-0.44",10000.00
2025-04-16T20:27:43.986Z,Signal,"Bearish CVD su TF 3m, lastVolume=-0.44",10000.00
2025-04-16T20:27:43.986Z,FVG,"Check: ATR=70.58, fvgSensitivity=0.20, Threshold=14.12",10000.00
2025-04-16T20:27:43.986Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
